what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee,1.1.400.v201005271900,"org.eclipse.jst.j2ee",1286282435034
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1286282435159
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1286282435331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286282436175
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286282438034
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286282455566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282458269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282477128
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286282477222
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286282477300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282478941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282567722
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286282774488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282775878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282802706
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286282806144
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286282809972
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1286282811253
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286282821847
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286282823191
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282835988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282835988
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286282836097
