what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642716386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642721683
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642740809
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642743606
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642787606
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642789200
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642802216
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642803544
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1284642824701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1284642830966
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1284642844513
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1284642898436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642955937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642956812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642974578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642975750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642984735
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284642986063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643034251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643043876
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643045001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643065689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643066611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1284643088049
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1284643093768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1284643100315
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643174160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643192473
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643192489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643192598
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643204082
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643211848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643212458
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643213395
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643218223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643226301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643227755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643236755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643236755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643236880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643243661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643269474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643308178
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1284643483399
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1284643489852
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1284643558759
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1284643573572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643584181
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1284643593212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1284643597384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643715480
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284643719933
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643792059
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1284643843169
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643898216
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643927452
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643987048
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643988017
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1284643988626
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1284643997611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1284643998314
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1284643998924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284644002674
