what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285222172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285222172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285222282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285257204
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286285271642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285281329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285281329
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285281423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285296814
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286285354329
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286285356720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286285363876
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286285369939
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286285389767
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286285400111
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286285415392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286285422423
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286285427282
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286285436970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285446751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285449064
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285454845
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285456204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285456298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285457142
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286285457814
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285462329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285463298
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286285471689
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286285479736
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285560720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285561439
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286285562361
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286285584048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285593064
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285594157
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286285594689
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286285599361
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286285611032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286285619986
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286285622361
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285633673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285634954
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286285635626
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286285637907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286285640798
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286285642845
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285645845
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285646923
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286285647486
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286285651079
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286285652454
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286285653314
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285655501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285659939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285840173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286285841486
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286285841892
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286285851517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286285952345
