what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1287495786360
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1287495786360
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1287495786360
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1287495786360
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1287495786360
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1287495786360
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1287495786360
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1287495786360
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1287495786360
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1287495786360
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1287495786376
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1287495786376
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1287495786376
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1287495786376
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1287495786376
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1287495786376
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1287495786376
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1287495786376
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1287495786376
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1287495786376
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1287495786376
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1287495786376
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1287495786376
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1287495786376
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1287495786376
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1287495786376
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1287495786376
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1287495786376
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1287495786376
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1287495786376
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1287495786376
os,sysinfo,,,"win32",1287495786376
arch,sysinfo,,,"x86",1287495786376
ws,sysinfo,,,"win32",1287495786376
locale,sysinfo,,,"en_US",1287495786376
processors,sysinfo,,,"2",1287495786392
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1287495786392
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1287495786392
java.specification.name,sysinfo,,,"Java Platform API Specification",1287495786392
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287495786392
java.specification.version,sysinfo,,,"1.6",1287495786392
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1287495786392
java.version,sysinfo,,,"1.6.0_21",1287495786392
java.vm.info,sysinfo,,,"mixed mode, sharing",1287495786392
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1287495786392
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287495786392
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287495786392
java.vm.specification.version,sysinfo,,,"1.0",1287495786392
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1287495786392
java.vm.version,sysinfo,,,"17.0-b17",1287495786392
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1287495790267
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1287495791954
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1287495792454
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1287495792470
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1287495792470
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1287495792485
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1287495792517
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1287495792517
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1287495792595
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287495795486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287495838721
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287495841518
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1287495843221
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1287495843236
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1287495843236
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1287495843236
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1287495843252
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1287495843268
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1287495843268
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1287495843283
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1287495843299
